"","Accession","Tissue","Group","Label","Estimate"
"5","SRR10901290","Fat body","F","F1",10395684
"6","SRR10901289","Fat body","F","F2",10622663
"7","SRR10901288","Fat body","F","F3",9812492
"8","SRR10901287","Fat body","F","F4",9819590
"9","SRR10901286","Fat body","N","N1",10183143
"10","SRR10901285","Fat body","N","N2",54816483
"11","SRR10901306","Fat body","N","N3",13566677
"12","SRR10901305","Fat body","N","N4",10478171
"1","SRR10901308","Fat body","W","W1",7589701
"2","SRR10901307","Fat body","W","W2",9205696
"3","SRR10901296","Fat body","W","W3",7878113
"4","SRR10901291","Fat body","W","W4",10567136
"17","SRR10901300","Flight muscle","F","F1",10403286
"18","SRR10901299","Flight muscle","F","F2",9635344
"19","SRR10901298","Flight muscle","F","F3",11763683
"20","SRR10901297","Flight muscle","F","F4",8376154
"21","SRR10901295","Flight muscle","N","N1",10773543
"22","SRR10901294","Flight muscle","N","N2",10828715
"23","SRR10901293","Flight muscle","N","N3",13273847
"24","SRR10901292","Flight muscle","N","N4",10450605
"13","SRR10901304","Flight muscle","W","W1",8936265
"14","SRR10901303","Flight muscle","W","W2",51554954
"15","SRR10901302","Flight muscle","W","W3",9490797
"16","SRR10901301","Flight muscle","W","W4",10288543
